common;headerText_homepage,tracking,trackingTab;Label_Tracking;Tracking;Tracking;跟踪;Rastrear;Tracking
common;homepageSearchDescription;Label_EnterAContainerBillOfLadingOr;Enter a Container, Bill of lading or Booking Number;Saisir un numéro de conteneur,  de connaissement ou de booking;输入货柜号, 提单号或订舱号;Digite um Container, conhecimento de Embarque ou Número de Reserva;Insertar número de contenedor, B/L o Booking
common;homepagePreviousTab;Label_PreviousSearches;Previous searches;Recherches précédentes;上一个搜索;Pesquisas Anteriores;Búsquedas anteriores
common;homepageBookmarkTab, bookmarks,bookmarks_android;Label_Bookmarks;Bookmarks;Favoris;书签;Bookmarks;Favoritos
common;voyage;Label_Voyage;Voyage;Voyage;航次;Viagem;Viaje
common;routing;Label_Schedule;Schedule;Horaire;时间表;Programação;Schedule
common;labelMoreHeader,more;PageAction_More;More;Autres…;更多;Mais;Más
common;homepageCancelButton, helpPageBack,vd_fastsearch_page_cancel;Label_Cancel;Cancel;Annuler;取消;cancelar;cancelar
common;bl;Label_BillOfLading;Bill of lading;Connaissement;提单;Conhecimento de embarque;B/L
common;booking;Label_Booking;Booking;Booking;订舱;Reserva;Booking
common;container;Label_Container;Container;Conteneur;集装箱;Container;Contenedor
common;multipleSearchDescription;MsgInf_LaunchMultipleSearchWithComma;To launch a multiple search, fill out the field with container references separated by commas;Pour lancer une recherche avec plusieurs conteneurs, séparez les références par des virgules;可搜索多个集装箱, 请用逗号分隔每个集装箱号。;É possivel realizar busca por multiplos containers separando-os por vírgula;Para búsquedas múltiples, rellenar el campo con las referencias de cada contenedor separadas por comas
common;helpPageOk;Label_Ok;Ok;Ok;确认;Ok;Ok
common;labelSettingsHelp;Label_Help;Help;Aide;支援;Ajuda;Ayuda
common;labelSettings, labelSettingsHeader,settingsLanguageHeader,setting_android;Label_Settings;Settings;Paramètres;设定;Informações;Parámetros
msg;ER_TEXT_6;MsgWrn_PleaseEnterASearchNumber;Please enter a search number;Merci d'entrer un numéro afin d'effectuer une recherche;请输入一个搜索号码;Por favor insira um número para pesquisa;Insertar número de búsqueda.
msg;ER_TEXT_7;MsgErr_ReferenceIsNotValid;Reference is not valid. Please check it;La référence n'est pas valide. Merci de vérifier.;参考号码是无效的。请检查;Referência não é valida. Por favor verificar;Referencia no válida. Por favor comprobar
msg;TODO;MsgErr_ContainerNotFoundOrAlreadyUnst;Container not found or already unstuffed or returned to the depot, please contact Customer Service for further information.;Conteneur non trouvé, déjà vidé ou retourné au dépôt,  merci de contacter le service client pour plus d'informations.;货柜未找到或已经卸货或返回到堆场，请联系客户服务进一步的信息。;Container não encontrado ou já desovado ou devolvidos ao terminal de vazios, por favor, entre em contato com o atendimento ao cliente para mais informações.;Contenedor no encontrado, vaciado o retornado al depot. Por favor contacte con el equipo de Customer Service para más información.
msg;TODO;MsgWrn_BookingNotFound;Booking not found or Container already unstuffed and returned. Please contact {0} for further information.;Booking non trouvé ou conteneur déjà vidé ou retourné au dépôt. Merci de contacter votre Support Client pour plus d'informations.;订舱号不存在或集装箱已拆箱并返还,请联系客户服务了解更多详情;A Reserva não foí encontrada ou o container já foí desovado e devolvido. Por favor contate o Customer Service para mais informaҫões.;Booking no encontrado, o el contenedor ya ha sido vaciado y devuelto. Por favor contacte con customer service para obtener más información.
msg;ER_TEXT_8;MsgWrn_MaxOfThreeContainersRef;Maximum of three containers references can be filled out. Please amend your search criteria.;Vous pouvez entrer jusqu'à 3 références de conteneurs.;最多可以输入三个集装箱参考号。请修改您的搜索条件。;Um máximo de três containers podem ser inseridos. Por favor corrija seu criterio de busca;Un máximo de 3 números de contenedor pueden ser introducidos. Por favor corregir el criterio de búsqueda.
msg;TODO;MsgWrn_BLReferenceNotFound;BL reference not found or over 100 days, please contact {0} for further information.;La référence du B/L n' a pas été trouvée ou date de plus de 100 jours. Merci de contacter le support client pour plus d'information;提单号不存在或超过100天。请联系客户服务了解更多详情;O B/L informado não foí encontrado ou tem mais de 100 dias. Por favor contate o Customer Service para mais informaҫões.;B/L no encontrado, o de más de 100 días de antigüedad. Por favor contacte con customer service para obtener más información.
